window_end,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,packet_rate,byte_rate,syn_count,avg_packet_size
1782833530.436,10.231.201.145,10.231.201.83,445,50549,TCP,1,60,3.74,224.44,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,8080,50549,TCP,1,60,3.74,224.44,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,554,50549,TCP,1,60,3.74,224.44,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,1723,50549,TCP,1,60,3.74,224.44,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,135,50549,TCP,1,60,3.74,224.44,0,60.0
1782833530.436,10.231.201.83,10.231.201.145,50549,587,TCP,1,58,3.74,217.14,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,1025,TCP,1,58,3.75,217.39,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,80,TCP,1,58,3.75,217.63,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,143,TCP,1,58,3.76,217.84,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,995,TCP,1,58,3.76,218.08,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,22,TCP,1,58,3.76,218.3,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,113,TCP,1,58,3.77,218.54,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,993,TCP,1,58,3.77,218.76,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,3389,TCP,1,58,3.78,218.99,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,111,TCP,1,58,3.78,219.23,1,58.0
1782833530.436,10.231.201.145,10.231.201.83,587,50549,TCP,1,60,3.79,227.22,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,1025,50549,TCP,1,60,3.79,227.22,0,60.0
1782833530.436,10.231.201.83,10.231.201.145,50549,21,TCP,1,58,3.79,219.73,1,58.0
1782833530.436,10.231.201.145,10.231.201.83,80,50549,TCP,1,60,3.79,227.64,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,143,50549,TCP,1,60,3.79,227.64,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,995,50549,TCP,1,60,3.79,227.64,0,60.0
1782833530.436,10.231.201.83,10.231.201.145,50549,256,TCP,1,58,3.8,220.36,1,58.0
1782833530.436,10.231.201.145,10.231.201.83,22,50549,TCP,1,60,3.8,228.21,0,60.0
1782833530.436,10.231.201.83,10.231.201.145,50549,5900,TCP,1,58,3.81,220.92,1,58.0
1782833530.436,10.231.201.145,10.231.201.83,113,50549,TCP,1,60,3.82,228.99,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,993,50549,TCP,1,60,3.82,228.99,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,3389,50549,TCP,1,60,3.82,228.99,0,60.0
1782833530.436,10.231.201.83,10.231.201.145,50549,23,TCP,1,58,3.82,221.43,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,3306,TCP,1,58,3.82,221.68,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,110,TCP,1,58,3.83,221.9,1,58.0
1782833530.436,10.231.201.145,10.231.201.83,111,50549,TCP,1,60,3.83,229.96,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,21,50549,TCP,1,60,3.83,229.96,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,256,50549,TCP,1,60,3.83,229.96,0,60.0
1782833530.436,10.231.201.83,10.231.201.145,50549,1720,TCP,1,58,3.83,222.37,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,25,TCP,1,58,3.84,222.59,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,4006,TCP,1,58,3.84,222.82,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,416,TCP,1,58,3.85,223.17,1,58.0
1782833530.436,10.231.201.145,10.231.201.83,5900,50549,TCP,1,60,3.85,231.11,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,23,50549,TCP,1,60,3.88,232.53,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,3306,50549,TCP,1,60,3.88,232.53,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,110,50549,TCP,1,60,3.88,232.91,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,1720,50549,TCP,1,60,3.88,232.91,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,25,50549,TCP,1,60,3.89,233.53,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,4006,50549,TCP,1,60,3.89,233.53,0,60.0
1782833530.436,10.231.201.145,10.231.201.83,416,50549,TCP,1,60,3.91,234.44,0,60.0
1782833530.436,10.231.201.83,10.231.201.145,50549,6005,TCP,1,58,3.91,226.83,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,2121,TCP,1,58,3.91,226.98,1,58.0
1782833530.436,10.231.201.83,10.231.201.145,50549,2701,TCP,1,58,3.91,227.06,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,139,TCP,1,58,0.77,44.87,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,443,TCP,1,58,0.77,44.88,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,53,TCP,2,112,1.55,86.68,1,56.0
1782833531.453,10.231.201.83,10.231.201.145,50549,199,TCP,1,58,0.77,44.9,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,8888,TCP,1,58,0.77,44.91,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,445,TCP,1,58,0.77,44.92,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,8080,TCP,1,58,0.77,44.93,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,554,TCP,1,58,0.77,44.94,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1723,TCP,1,58,0.78,44.96,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,135,TCP,1,58,0.78,44.97,1,58.0
1782833531.453,10.231.201.145,10.231.201.83,139,50549,TCP,1,60,0.78,46.62,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,443,50549,TCP,1,60,0.78,46.62,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,53,50549,TCP,1,60,0.78,46.62,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,199,50549,TCP,1,60,0.78,46.62,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,8888,50549,TCP,1,60,0.78,46.62,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,445,50549,TCP,1,60,0.78,46.7,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,8080,50549,TCP,1,60,0.78,46.7,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,554,50549,TCP,1,60,0.78,46.7,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1723,50549,TCP,1,60,0.78,46.7,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,135,50549,TCP,1,60,0.78,46.7,0,60.0
1782833531.453,10.231.201.83,10.231.201.145,50549,587,TCP,1,58,0.78,45.15,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1025,TCP,1,58,0.78,45.16,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,80,TCP,1,58,0.78,45.17,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,143,TCP,1,58,0.78,45.18,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,995,TCP,1,58,0.78,45.19,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,22,TCP,1,58,0.78,45.2,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,113,TCP,1,58,0.78,45.21,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,993,TCP,1,58,0.78,45.22,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,3389,TCP,1,58,0.78,45.23,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,111,TCP,1,58,0.78,45.24,1,58.0
1782833531.453,10.231.201.145,10.231.201.83,587,50549,TCP,1,60,0.78,46.82,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1025,50549,TCP,1,60,0.78,46.82,0,60.0
1782833531.453,10.231.201.83,10.231.201.145,50549,21,TCP,1,58,0.78,45.26,1,58.0
1782833531.453,10.231.201.145,10.231.201.83,80,50549,TCP,1,60,0.78,46.83,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,143,50549,TCP,1,60,0.78,46.83,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,995,50549,TCP,1,60,0.78,46.83,0,60.0
1782833531.453,10.231.201.83,10.231.201.145,50549,256,TCP,1,58,0.78,45.29,1,58.0
1782833531.453,10.231.201.145,10.231.201.83,22,50549,TCP,1,60,0.78,46.86,0,60.0
1782833531.453,10.231.201.83,10.231.201.145,50549,5900,TCP,1,58,0.78,45.31,1,58.0
1782833531.453,10.231.201.145,10.231.201.83,113,50549,TCP,1,60,0.78,46.89,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,993,50549,TCP,1,60,0.78,46.89,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,3389,50549,TCP,1,60,0.78,46.89,0,60.0
1782833531.453,10.231.201.83,10.231.201.145,50549,23,TCP,1,58,0.78,45.33,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,3306,TCP,1,58,0.78,45.34,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,110,TCP,1,58,0.78,45.35,1,58.0
1782833531.453,10.231.201.145,10.231.201.83,111,50549,TCP,1,60,0.78,46.93,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,21,50549,TCP,1,60,0.78,46.93,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,256,50549,TCP,1,60,0.78,46.93,0,60.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1720,TCP,1,58,0.78,45.37,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,25,TCP,1,58,0.78,45.38,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,4006,TCP,1,58,0.78,45.39,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,416,TCP,1,58,0.78,45.4,1,58.0
1782833531.453,10.231.201.145,10.231.201.83,5900,50549,TCP,1,60,0.78,46.98,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,23,50549,TCP,1,60,0.78,47.04,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,3306,50549,TCP,1,60,0.78,47.04,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,110,50549,TCP,1,60,0.78,47.05,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1720,50549,TCP,1,60,0.78,47.05,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,25,50549,TCP,1,60,0.78,47.08,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,4006,50549,TCP,1,60,0.78,47.08,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,416,50549,TCP,1,60,0.79,47.12,0,60.0
1782833531.453,10.231.201.83,10.231.201.145,50549,6005,TCP,1,58,0.79,45.55,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2121,TCP,1,58,0.79,45.56,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2701,TCP,1,58,0.79,45.56,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1300,TCP,1,58,0.79,45.57,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2998,TCP,1,58,0.79,45.57,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2222,TCP,1,58,0.79,45.58,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1998,TCP,1,58,0.79,45.58,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,19842,TCP,1,58,0.79,45.58,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,5925,TCP,1,58,0.79,45.59,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,65129,TCP,1,58,0.79,45.59,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1151,TCP,1,58,0.79,45.59,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,19780,TCP,1,58,0.79,45.59,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,9002,TCP,1,58,0.79,45.6,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,5102,TCP,1,58,0.79,45.6,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2099,TCP,1,58,0.79,45.6,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1107,TCP,1,58,0.79,45.61,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2968,TCP,1,58,0.79,45.61,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2068,TCP,1,58,0.79,45.61,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,888,TCP,1,58,0.79,45.62,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2021,TCP,1,58,0.79,45.62,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,17988,TCP,1,58,0.79,45.62,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,3261,TCP,1,58,0.79,45.63,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1183,TCP,1,58,0.79,45.63,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,3737,TCP,1,58,0.79,45.64,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2710,TCP,1,58,0.79,45.64,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,6788,TCP,1,58,0.79,45.65,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,5280,TCP,1,58,0.79,45.65,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,515,TCP,1,58,0.79,45.65,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,4279,TCP,1,58,0.79,45.66,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1072,TCP,1,58,0.79,45.66,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1091,TCP,1,58,0.79,45.66,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,3784,TCP,1,58,0.79,45.67,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2038,TCP,1,58,0.79,45.67,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,31337,TCP,1,58,0.79,45.67,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,7921,TCP,1,58,0.79,45.68,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,32773,TCP,1,58,0.79,45.68,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,280,TCP,1,58,0.79,45.69,1,58.0
1782833531.453,10.231.201.145,10.231.201.83,6005,50549,TCP,1,60,0.79,47.26,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,2121,50549,TCP,1,60,0.79,47.26,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,2701,50549,TCP,1,60,0.79,47.26,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1300,50549,TCP,1,60,0.79,47.26,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,2998,50549,TCP,1,60,0.79,47.26,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,2222,50549,TCP,1,60,0.79,47.26,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1998,50549,TCP,1,60,0.79,47.26,0,60.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1971,TCP,1,58,0.79,45.69,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,843,TCP,1,58,0.79,45.69,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1688,TCP,1,58,0.79,45.7,1,58.0
1782833531.453,10.231.201.145,10.231.201.83,19842,50549,TCP,1,60,0.79,47.27,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,5925,50549,TCP,1,60,0.79,47.34,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,65129,50549,TCP,1,60,0.79,47.34,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1151,50549,TCP,1,60,0.79,47.34,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,19780,50549,TCP,1,60,0.79,47.34,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,9002,50549,TCP,1,60,0.79,47.34,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,5102,50549,TCP,1,60,0.79,47.34,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,2099,50549,TCP,1,60,0.79,47.36,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1107,50549,TCP,1,60,0.79,47.36,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,2968,50549,TCP,1,60,0.79,47.38,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,2068,50549,TCP,1,60,0.79,47.38,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,888,50549,TCP,1,60,0.79,47.41,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,2021,50549,TCP,1,60,0.79,47.41,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,17988,50549,TCP,1,60,0.79,47.43,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,3261,50549,TCP,1,60,0.79,47.43,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1183,50549,TCP,1,60,0.79,47.45,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,3737,50549,TCP,1,60,0.79,47.45,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,2710,50549,TCP,1,60,0.79,47.47,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,6788,50549,TCP,1,60,0.79,47.47,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,5280,50549,TCP,1,60,0.79,47.49,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,515,50549,TCP,1,60,0.79,47.49,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,4279,50549,TCP,1,60,0.79,47.52,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1072,50549,TCP,1,60,0.79,47.52,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1091,50549,TCP,1,60,0.79,47.52,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,3784,50549,TCP,1,60,0.79,47.54,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,2038,50549,TCP,1,60,0.79,47.57,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,31337,50549,TCP,1,60,0.79,47.57,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,7921,50549,TCP,1,60,0.79,47.57,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,32773,50549,TCP,1,60,0.79,47.57,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,280,50549,TCP,1,60,0.79,47.59,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1971,50549,TCP,1,60,0.79,47.59,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,843,50549,TCP,1,60,0.79,47.61,0,60.0
1782833531.453,10.231.201.145,10.231.201.83,1688,50549,TCP,1,60,0.79,47.61,0,60.0
1782833531.453,10.231.201.83,10.231.201.145,50549,5550,TCP,1,58,0.79,46.03,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,5907,TCP,1,58,0.79,46.03,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2525,TCP,1,58,0.79,46.04,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,42,TCP,1,58,0.79,46.04,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,5054,TCP,1,58,0.79,46.04,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1839,TCP,1,58,0.79,46.04,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,8443,TCP,1,58,0.79,46.05,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,10621,TCP,1,58,0.79,46.05,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,6689,TCP,1,58,0.79,46.05,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,1311,TCP,1,58,0.79,46.06,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,9200,TCP,1,58,0.79,46.06,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,4126,TCP,1,58,0.79,46.06,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,3404,TCP,1,58,0.79,46.06,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,10003,TCP,1,58,0.79,46.07,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,27356,TCP,1,58,0.79,46.07,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,7000,TCP,1,58,0.79,46.07,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,7938,TCP,1,58,0.79,46.08,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,3995,TCP,1,58,0.79,46.08,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,544,TCP,1,58,0.79,46.08,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,2048,TCP,1,58,0.79,46.09,1,58.0
1782833531.453,10.231.201.83,10.231.201.145,50549,4321,TCP,1,58,0.79,46.09,1,58.0
